id|match_type|spisova_znacka|datum|kolegium|senat|ecli|merito|sudca|snippet|pdf_file
244943|MATCH_PARAGRAF_301|4Ndob/20/2025|2025-12-22|2|4|ECLI:SK:NSSR:2025:9025200016.1|354 233 eur|JUDr. Lenka Praženková|ednotlivé ustanovenia vylúčiť s výnimkou ustanovení § 261 a § 262 ods. 2, § 263 až § 272, § 273 ods. 1, § 276 až § 289, § 301, § 303, § 304, § 306 ods. 2 a 3, § 308, § 311 ods. 1, § 312, § 313, § 321 ods. 4, § 324, § 340a, § 340b, § 341, § 365, |244943_MATCH_PARAGRAF_301_4Ndob_20_2025.pdf
244629|MATCH_PARAGRAF_301|1Obdo/56/2024|2025-11-25|2|1|ECLI:SK:NSSR:2025:6119229957.1|6 500 eur s prísl.|JUDr. Miroslava Janečková|sa konanie končí, a to samostatným uznesením. 2. Súd prvej inštancie po právnej stránke vec posúdil podľa § 269 ods. 2, § 301, § 369 ods. 1, ods. 2 zákona č. 513/1991 Zb. Obchodného zákonníka v znení neskorších predpisov (ďalej len „Obchodný zák|244629_MATCH_PARAGRAF_301_1Obdo_56_2024.pdf
244005|MATCH_KEYWORDS|2Obdo/32/2024|2025-09-30|2|2|ECLI:SK:NSSR:2025:1112201036.1|zrušenie rozhodcovského rozsudku|Mgr. Soňa Pekarčíková|b. Občiansky zákonník v znení neskorších právnych predpisov (ďalej len „Občiansky zákonník“) upravujúcim úžeru z dôvodu neprimeranosti výšky zmluvnej pokuty. 10. K námietke neplatnosti ručiteľských vyhlásení pre nedostatok súhlasu jedného z manželov podľa § 145 ods. 1 Občians|244005_MATCH_KEYWORDS_2Obdo_32_2024.pdf
240273|MATCH_KEYWORDS|4Obdo/40/2023|2024-10-31|2|4|ECLI:SK:NSSR:2024:6119364884.1|6 000 eur s prísl.|JUDr. Lenka Praženková|rana žalobcu ako zastúpeného pred neprípustným konkurenčným konaním žalovaného ako obchodného zástupcu, avšak zároveň v neprimeranej miere neobmedzuje podnikateľskú činnosť žalovaného. 5. Žalobca si v zmysle čl. XIV. bod 14.1 predmetnej zmluvy uplatnil dohodnutú zmluvnú pokutu vo výške 1.000,-- eur v dôsledku porušenia zmluvnej povinnosti žalovaným, ktoré malo spočívať v tom, že ako obchodný zá|240273_MATCH_KEYWORDS_4Obdo_40_2023.pdf
239942|MATCH_KEYWORDS|2Obdo/34/2023|2024-09-26|2|2|ECLI:SK:NSSR:2024:6119316344.1|5 000 eur s prísl.|JUDr. Beáta Miničová|súdu nie je konkurenčná doložka ani v rozpore s poctivým obchodným stykom, dobrými mravmi a nebol dôvod ani na použitie moderačného práva súdu pokiaľ ide o primeranosť zmluvnej pokuty. V danom prípade bol zákaz konkurenčnej činnosti dojednaný na dobu 6 mesiacov a bol obmedzený na konkrétnu prevádzku a |239942_MATCH_KEYWORDS_2Obdo_34_2023.pdf
238345|MATCH_PARAGRAF_301|5Obdo/14/2023|2024-04-25|2|5|ECLI:SK:NSSR:2024:7811201291.4|500 000 eur s prísl.|JUDr. Andrea Moravčíková| znaleckého posudku Ing. M., ohľadne uplatneného opčného kontraktu, že tento nebol uplatnený platne. S poukazom na ust. § 301 zák. č. 513/1991 Zb. Obchodný zákonník v platnom znení (ďalej aj „ObZ“) a na vykonané dokazovanie dospel k záveru, že z|238345_MATCH_PARAGRAF_301_5Obdo_14_2023.pdf
237886|MATCH_KEYWORDS|2Obdo/52/2023|2024-03-28|2|2|ECLI:SK:NSSR:2024:6119394428.2|10 000 eur s prísl.|Mgr. Soňa Pekarčíková|á 90- dňová lehota na uzavretie realizačnej zmluvy vedel, že k uzavretiu realizačnej zmluvy nedôjde, čo znamená, že ani zmluvná pokuta vo výške 10 000 eur, ktorá by mala reprezentovať významnosť povinnosti, na ktorej splnení bezvýhradne žalovaný trval, nemôže byť primeraná. Žalovaný poprel tvrdenia žalobcu o tom, že na uzatvorenie budúcej zmluvy nebol žalobca vyzvaný tvrdiac, že bol v konta|237886_MATCH_KEYWORDS_2Obdo_52_2023.pdf
236208|MATCH_PARAGRAF_301|2Obdo/25/2023|2023-12-14|2|2|ECLI:SK:NSSR:2023:7917211444.1|569,89 eur s prísl.|JUDr. Beáta Miničová|ožil súdu prvej inštancie povinnosť, aby posúdil zmluvnú pokutu uplatnenú žalobkyňou vo výške 461,66 eura aj podľa ust. § 301 zákona č. 513/1991 Zb. Obchodného zákonníka v znení neskorších predpisov (ďalej len „ObZ“). V ďalšom konaní mal podľa o|236208_MATCH_PARAGRAF_301_2Obdo_25_2023.pdf
235703|MATCH_PARAGRAF_301|2Obdo/37/2022|2023-10-31|2|2|ECLI:SK:NSSR:2023:6119364428.1|68 334,96 eur s prísl.|Mgr. Soňa Pekarčíková|pokutu možno dojednať len písomne a v dojednaní musí byť určená výška pokuty alebo určený spôsob jej určenia. 68. Podľa § 301 ObZ, neprimerane vysokú zmluvnú pokutu môže súd znížiť s prihliadnutím na hodnotu a význam zabezpečovanej povinnosti, a|235703_MATCH_PARAGRAF_301_2Obdo_37_2022.pdf
241708|MATCH_KEYWORDS|1Obdo/64/2023|2025-02-26|2|1|ECLI:SK:NSSR:2025:7114218720.1|11 376 eur s prísl.|JUDr. Miroslava Janečková|na náhradu škody jej zmluvný partner Innovia s.r.o. ako hlavný dodávateľ predmetného diela. Žalovaná nepreukázala, že v primeranej lehote od 15. januára 2014, kedy sa dozvedela o uplatnenej zmluvnej pokute od spoločnosti Innovia s.r.o., že túto včas uplatnila aj u svojho obchodného partnera PEVA s.r.o. 21. Odvolací súd v sú|241708_MATCH_KEYWORDS_1Obdo_64_2023.pdf
