experiment_name;document;query_key;csv_column;top_k;window_size;total_doc_chunks;fetched_chunks;coverage_pct;retrieved_chunk_ids;all_cosine_scores;avg_all_cosine;max_all_cosine;hit_cosine_scores;avg_hit_cosine;miss_cosine_scores;avg_miss_cosine;quotes_expected;quotes_found;hit_type;hit_score;reciprocal_rank;precision_at_k;rate_cosine_scores;principal_cosine_scores;outcome_cosine_scores;reasoning_cosine_scores;factors_cosine_scores;call1_chunks;call1_coverage;call2_chunks;call2_coverage;total_chunks;total_coverage
mE5base_200_top2_w0;NS_SR_1Cdo_85_2023_00_dokument.pdf;q1_combined;q1_context_quotes;2;0;38;3;9.8;"[""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_4"", ""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_12"", ""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_1"", ""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_4""]";[0.8413, 0.8375, 0.8311, 0.8166];0.8316;0.8413;[0.8311];0.8311;[0.8413, 0.8375];0.8394;4;3;PARTIAL;0.75;0.3333;0.3333;;;;;;;;;;;
mE5base_200_top2_w0;NS_SR_1Cdo_85_2023_00_dokument.pdf;q2_combined;q2_penalty_quotes;2;0;38;4;9.2;"[""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_13"", ""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_8"", ""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_12"", ""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_10""]";[0.8422, 0.8414, 0.8164, 0.8143];0.8286;0.8422;[];;[0.8422, 0.8414, 0.8164, 0.8143];0.8286;1;0;MISS;0.0;0.0;0.0;[0.8422, 0.8414];[0.8164, 0.8143];;;;;;;;;
mE5base_200_top2_w0;NS_SR_1Cdo_85_2023_00_dokument.pdf;q3_combined;q3_moderation_quotes;2;0;38;5;15.0;"[""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_4"", ""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_29"", ""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_9"", ""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_29"", ""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_7"", ""NS_SR_1Cdo_85_2023_00_dokument.pdf_chunk_8""]";[0.8538, 0.8509, 0.8691, 0.8689, 0.8528, 0.8515];0.8578;0.8691;[0.8538];0.8538;[0.8509, 0.8691, 0.8528, 0.8515];0.8561;3;3;PERFECT;1.0;0.5;0.2;;;[0.8538, 0.8509];[0.8691, 0.8689];[0.8528, 0.8515];;;;;;
mE5base_200_top2_w0;NS_SR_1Cdo_85_2023_00_dokument.pdf;per_call_coverage;;2;0;38;;;;;;;;;;;;;;;;;;;;;;6;15.5;5;15.0;9;24.2
mE5base_200_top2_w0;KS_Bratislava_1Cob_40_2018_00_dokument.pdf;q1_combined;q1_context_quotes;2;0;55;5;11.7;"[""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_18"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_36"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_17"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_18"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_47"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_10""]";[0.8524, 0.8505, 0.848, 0.8304, 0.8271, 0.8214];0.8383;0.8524;[];;[0.8524, 0.8505, 0.848, 0.8271, 0.8214];0.8399;3;0;MISS;0.0;0.0;0.0;;;;;;;;;;;
mE5base_200_top2_w0;KS_Bratislava_1Cob_40_2018_00_dokument.pdf;q2_combined;q2_penalty_quotes;2;0;55;4;9.8;"[""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_48"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_49"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_5"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_36""]";[0.8752, 0.8696, 0.8213, 0.8196];0.8464;0.8752;[];;[0.8752, 0.8696, 0.8213, 0.8196];0.8464;1;0;MISS;0.0;0.0;0.0;[0.8752, 0.8696];[0.8213, 0.8196];;;;;;;;;
mE5base_200_top2_w0;KS_Bratislava_1Cob_40_2018_00_dokument.pdf;q3_combined;q3_moderation_quotes;2;0;55;5;10.8;"[""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_48"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_49"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_22"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_25"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_0"", ""KS_Bratislava_1Cob_40_2018_00_dokument.pdf_chunk_22""]";[0.8462, 0.842, 0.8875, 0.8786, 0.8558, 0.8555];0.8609;0.8875;[];;[0.8462, 0.842, 0.8875, 0.8786, 0.8558];0.862;2;0;MISS;0.0;0.0;0.0;;;[0.8462, 0.842];[0.8875, 0.8786];[0.8558, 0.8555];;;;;;
mE5base_200_top2_w0;KS_Bratislava_1Cob_40_2018_00_dokument.pdf;per_call_coverage;;2;0;55;;;;;;;;;;;;;;;;;;;;;;8;19.2;5;10.8;11;24.5
mE5base_200_top2_w0;KS_Bratislava_1Cob_130_2019_00_dokument.pdf;q1_combined;q1_context_quotes;2;0;49;5;7.8;"[""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_4"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_2"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_14"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_4"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_7"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_11""]";[0.8625, 0.848, 0.8468, 0.8413, 0.831, 0.8218];0.8419;0.8625;[0.848];0.848;[0.8625, 0.8468, 0.831, 0.8218];0.8405;3;1;PARTIAL;0.3333;0.5;0.2;;;;;;;;;;;
mE5base_200_top2_w0;KS_Bratislava_1Cob_130_2019_00_dokument.pdf;q2_combined;q2_penalty_quotes;2;0;49;4;9.7;"[""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_12"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_1"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_28"", ""KS_Bratislava_1Cob_130_2019_00_dokument.pdf_chunk_43""]";[0.8614, 0.8481, 0.8188, 0.8167];0.8362;0.8614;[];;[0.8614, 0.8481, 0.8188, 0.8167];0.8362;2;0;MISS;0.0;0.0;0.0;[0.8614, 0.8481];[0.8188, 0.8167];;;;;;;;;
