id|dovod|spis|datum|sud|snippet|file
241450|MATCH_301_OBCHOD|3Ndob/93/2024|2025-02-19||edlačkovej, v spore žalobcu: J&D Trade Holding s.r.o, so sídlom Hurbanova 21, Stará Turá, IČO: 47 746 301, zastúpený Advokátska kancelária CIMRÁK s.r.o., so sídlom Štefánikova 7, Nitra, IČO: 36 868 876, pr|241450_3Ndob_93_2024.pdf
240234|MATCH_301_OBCHOD|2ObdoK/5/2023|2024-10-24||4, 911 01 Trenčín, značka správcu S1510, správca dlžníka FeMaDa, s.r.o., 018 13 Papradno 511, IČO: 36 301 469, zastúpený Mgr. Róbert Galko, advokát, Jesenského 7713/12, 911 01 Trenčín, IČO: 51 790 572, o u|240234_2ObdoK_5_2023.pdf
238345|MATCH_301_OBCHOD|5Obdo/14/2023|2024-04-25||Ing. M., ohľadne uplatneného opčného kontraktu, že tento nebol uplatnený platne. S poukazom na ust. § 301 zák. č. 513/1991 Zb. Obchodný zákonník v platnom znení (ďalej aj „ObZ“) a na vykonané dokazovanie d|238345_5Obdo_14_2023.pdf
236208|MATCH_301_OBCHOD|2Obdo/25/2023|2023-12-14||ancie povinnosť, aby posúdil zmluvnú pokutu uplatnenú žalobkyňou vo výške 461,66 eura aj podľa ust. § 301 zákona č. 513/1991 Zb. Obchodného zákonníka v znení neskorších predpisov (ďalej len „ObZ“). V ďalšo|236208_2Obdo_25_2023.pdf
235703|MATCH_301_OBCHOD|2Obdo/37/2022|2023-10-31||ť len písomne a v dojednaní musí byť určená výška pokuty alebo určený spôsob jej určenia. 68. Podľa § 301 ObZ, neprimerane vysokú zmluvnú pokutu môže súd znížiť s prihliadnutím na hodnotu a význam zabezpeč|235703_2Obdo_37_2022.pdf
233956|MATCH_301_OBCHOD|2Obdo/31/2022|2023-05-30||odľa ust. § 7 ods. 1 CMP, účastníkom je ten, koho tento zákon za účastníka označuje. 17. Podľa ust. § 301 ods. 1 CMP, účastníkom konania o zrušenie zápisu údajov do obchodného registra je navrhovateľ, zapí|233956_2Obdo_31_2022.pdf
233884|MATCH_301_OBCHOD|1Obdo/80/2022|2023-05-23||epravy. Súd mal za to, že v posudzovanom prípade je potrebné uplatniť moderačné právo súdu v zmysle § 301 Obchodného zákonníka a neprimerane vysokú zmluvnú pokutu znížiť s ohľadom na hodnotu a význam zabez|233884_1Obdo_80_2022.pdf
233538|MATCH_301_OBCHOD|4Obdo/65/2022|2023-03-30||ávne posúdil podľa § 536, § 537 ods. 1, 2, § 546 ods. 1, § 548 ods. 1, § 554 ods. 1, § 558, § 364 a § 301 Obchodného zákonníka (ďalej len „ObchZ“), upravujúcich povinnosti zhotoviteľa a objednávateľa diela|233538_4Obdo_65_2022.pdf
219818|MATCH_301_OBCHOD|5MObdo/1/2015|2015-10-28||zákonníka, ďalej ust. § 1 ods. 2 Obchodného zákonníka, ust. § 544 ods. 1, 2 Občianskeho zákonníka a § 301 Obchodného zákonníka. Poukázal na znenie článku V. bod 3, 4 predmetnej zmluvy, ďalej na ust. § 302,|219818_5MObdo_1_2015.pdf
218911|MATCH_301_OBCHOD|1Obdo/84/2021|2022-09-27||ávrhu žalovanej súd preskúmal, či sú naplnené podmienky moderácie zmluvnej pokuty podľa ustanovenia § 301 Obchodného zákonníka, ktorými sú najmä hodnota a význam zabezpečovanej povinnosti, hospodárska pozí|218911_1Obdo_84_2021.pdf
217585|MATCH_301_OBCHOD|4Obdo/61/2020|2021-11-30||ďarského zákona o hospodárskych/obchodných spoločnostiach). Súd prvej inštancie tiež aplikoval ust. § 301A ods. 2, 3 Maďarského občianskeho zákonníka na posúdenie oprávnenosti úrokov z omeškania uplatnenéh|217585_4Obdo_61_2020.pdf
216579|MATCH_301_OBCHOD|4Obdo/29/2021|2022-01-28||rávne posúdil podľa § 536, § 537 ods. 1, 2, § 546 ods. 1, § 548 ods. 1, § 554 ods. 1, § 558, § 364, § 301 Obchodného zákonníka (ďalej len „ObchZ“), upravujúcich povinnosti zhotoviteľa a objednávateľa diela|216579_4Obdo_29_2021.pdf
213160|MATCH_301_OBCHOD|2Obo/10/2012|2012-09-13|| ods. 1 Obch. zák., nie je zmluvnou pokutou, a preto nespadá pod moderačné právo súdu upravené ust. § 301 Obch. zák. Odvolací súd tiež zhodne so súdom prvého stupňa nezistil v dohodnutom úroku tak, ako bol|213160_2Obo_10_2012.pdf
