id|typ_zhody|dovod_detail|spis|datum|sud|oblast|snippet|file
244005|SLOVNE|MATCH_STRICT_KEYWORDS|2Obdo/32/2024|2025-09-30||| právnych predpisov (ďalej len „Občiansky zákonník“) upravujúcim úžeru z dôvodu neprimeranosti výšky zmluvnej pokuty. 10. K námietke neplatnosti ručiteľských vyhlásení pre nedostatok súhlasu jedné|244005_SLOVNE_2Obdo_32_2024.pdf
241708|SLOVNE|MATCH_STRICT_KEYWORDS|1Obdo/64/2023|2025-02-26|||ovia s.r.o. ako hlavný dodávateľ predmetného diela. Žalovaná nepreukázala, že v primeranej lehote od 15. januára 2014, kedy sa dozvedela o uplatnenej zmluvnej pokute od spoločnosti Innovia s.r.o., že túto včas uplatnila aj u svojho obchodného pa|241708_SLOVNE_1Obdo_64_2023.pdf
240273|SLOVNE|MATCH_STRICT_KEYWORDS|4Obdo/40/2023|2024-10-31|||ustným konkurenčným konaním žalovaného ako obchodného zástupcu, avšak zároveň v neprimeranej miere neobmedzuje podnikateľskú činnosť žalovaného. 5. Žalobca si v zmysle čl. XIV. bod 14.1 predmetnej zmluvy uplatnil dohodnutú zmluvnú pokutu vo výške 1.000,-- eur v dôsledku porušenia zmluvnej povinnosti žalovaným, ktoré|240273_SLOVNE_4Obdo_40_2023.pdf
240234|PARAGRAF|MATCH_PARAGRAF_301|2ObdoK/5/2023|2024-10-24|||načka správcu S1510, správca dlžníka FeMaDa, s.r.o., 018 13 Papradno 511, IČO: 36 301 469, zastúpený Mgr. Róbert Galko, advokát, Jesenského 7713/12, 911 01 Trenčín, |240234_PARAGRAF_2ObdoK_5_2023.pdf
239942|SLOVNE|MATCH_STRICT_KEYWORDS|2Obdo/34/2023|2024-09-26|||zpore s poctivým obchodným stykom, dobrými mravmi a nebol dôvod ani na použitie moderačného práva súdu pokiaľ ide o primeranosť zmluvnej pokuty. V danom prípade bol zákaz konkurenčnej činnosti dojednaný na dobu 6 mesiacov a|239942_SLOVNE_2Obdo_34_2023.pdf
238345|PARAGRAF|MATCH_PARAGRAF_301|5Obdo/14/2023|2024-04-25|||atneného opčného kontraktu, že tento nebol uplatnený platne. S poukazom na ust. § 301 zák. č. 513/1991 Zb. Obchodný zákonník v platnom znení (ďalej aj „ObZ“) a na vy|238345_PARAGRAF_5Obdo_14_2023.pdf
237886|SLOVNE|MATCH_STRICT_KEYWORDS|2Obdo/52/2023|2024-03-28|||nej zmluvy vedel, že k uzavretiu realizačnej zmluvy nedôjde, čo znamená, že ani zmluvná pokuta vo výške 10 000 eur, ktorá by mala reprezentovať významnosť povinnosti, na ktorej splnení bezvýhradne žalovaný trval, nemôže byť primeraná. Žalovaný poprel tvrdenia žalobcu o tom, že na uzatvorenie budúcej zmluvy nebol|237886_SLOVNE_2Obdo_52_2023.pdf
236208|PARAGRAF|MATCH_PARAGRAF_301|2Obdo/25/2023|2023-12-14||| posúdil zmluvnú pokutu uplatnenú žalobkyňou vo výške 461,66 eura aj podľa ust. § 301 zákona č. 513/1991 Zb. Obchodného zákonníka v znení neskorších predpisov (ďalej|236208_PARAGRAF_2Obdo_25_2023.pdf
235703|PARAGRAF|MATCH_PARAGRAF_301|2Obdo/37/2022|2023-10-31|||jednaní musí byť určená výška pokuty alebo určený spôsob jej určenia. 68. Podľa § 301 ObZ, neprimerane vysokú zmluvnú pokutu môže súd znížiť s prihliadnutím na hodno|235703_PARAGRAF_2Obdo_37_2022.pdf
234689|SLOVNE|MATCH_STRICT_KEYWORDS|4Obdo/83/2021|2022-12-15|||oľvek faktúry, v bode 7.2 Zmluvy dohodli právo žalobcu uplatniť voči žalovanému zmluvnú pokutu vo výške 0,03 % z dlžnej čiastky za každý deň omeškania. Súd prvej inštancie mal za to, že sa nejedná o neprimerane vysokú zmluvnú pokutu, účastníci si predmetnú sankciu dohodli, žalovaný s dohod|234689_SLOVNE_4Obdo_83_2021.pdf
233956|PARAGRAF|MATCH_PARAGRAF_301|2Obdo/31/2022|2023-05-30||| CMP, účastníkom je ten, koho tento zákon za účastníka označuje. 17. Podľa ust. § 301 ods. 1 CMP, účastníkom konania o zrušenie zápisu údajov do obchodného registra |233956_PARAGRAF_2Obdo_31_2022.pdf
233884|PARAGRAF|MATCH_PARAGRAF_301|1Obdo/80/2022|2023-05-23|||o, že v posudzovanom prípade je potrebné uplatniť moderačné právo súdu v zmysle § 301 Obchodného zákonníka a neprimerane vysokú zmluvnú pokutu znížiť s ohľadom na ho|233884_PARAGRAF_1Obdo_80_2022.pdf
233538|PARAGRAF|MATCH_PARAGRAF_301|4Obdo/65/2022|2023-03-30||| 536, § 537 ods. 1, 2, § 546 ods. 1, § 548 ods. 1, § 554 ods. 1, § 558, § 364 a § 301 Obchodného zákonníka (ďalej len „ObchZ“), upravujúcich povinnosti zhotoviteľa a|233538_PARAGRAF_4Obdo_65_2022.pdf
220081|SLOVNE|MATCH_STRICT_KEYWORDS|4Obdo/95/2021|2022-10-31|||bcu, nerobil tak podľa žalovaného na základe tejto zmluvy. Žalovaný namietal aj neprimerane vysokú zmluvnú pokutu, ktorá je vo výške takmer 50 % z celkovej výšky plnenia za rok 2015 a takmer 10|220081_SLOVNE_4Obdo_95_2021.pdf
219818|PARAGRAF|MATCH_PARAGRAF_301|5MObdo/1/2015|2015-10-28|||. § 1 ods. 2 Obchodného zákonníka, ust. § 544 ods. 1, 2 Občianskeho zákonníka a § 301 Obchodného zákonníka. Poukázal na znenie článku V. bod 3, 4 predmetnej zmluvy, |219818_PARAGRAF_5MObdo_1_2015.pdf
218911|PARAGRAF|MATCH_PARAGRAF_301|1Obdo/84/2021|2022-09-27|||preskúmal, či sú naplnené podmienky moderácie zmluvnej pokuty podľa ustanovenia § 301 Obchodného zákonníka, ktorými sú najmä hodnota a význam zabezpečovanej povinnos|218911_PARAGRAF_1Obdo_84_2021.pdf
217585|PARAGRAF|MATCH_PARAGRAF_301|4Obdo/61/2020|2021-11-30|||spodárskych/obchodných spoločnostiach). Súd prvej inštancie tiež aplikoval ust. § 301A ods. 2, 3 Maďarského občianskeho zákonníka na posúdenie oprávnenosti úrokov z |217585_PARAGRAF_4Obdo_61_2020.pdf
217228|SLOVNE|MATCH_STRICT_KEYWORDS|4Obdo/30/2021|2022-04-29||| Dohodou o vzájomnom zápočte medzi zmluvnými stranami zo dňa 11.07.2017 bol dlh znížený o výšku 1.428,43 eur na výšku 9.200,45 eur. Jednostranným započítaním zo dňa 11.07.2017 žalovaným boli započítané jeho pohľadávky titulom zmluvnej pokuty vo výške 61.808,25 eur, ktoré mal voči pohľadávkam žalobcu vo výške 60.284,21 e|217228_SLOVNE_4Obdo_30_2021.pdf
