rank,global_id,page,chunk_on_page,len_chars,preview
1,39,9,3,381,"34. Z predmetného zmluvného dojednania je zrejmé, že spĺňa požiadavku určenia zmluvných strán, nakoľko je súčasťou písomne uzavretej zmluvy o dielo a obsahuje tiež označenie zmluvnej povinnosti, ktorej splnenie zmluvná p…"
2,33,8,4,241,"29. Podľa § 544 ods. 1 OZ, ak strany dojednajú pre prípad porušenia zmluvnej povinnosti zmluvnú pokutu, je účastník, ktorý túto povinnosť poruší, zaviazaný pokutu zaplatiť, aj keď oprávnenému účastníkovi porušením povinn…"
3,34,8,5,144,"30. Podľa § 544 ods. 2 OZ, zmluvnú pokutu možno dojednať len písomne a v dojednaní musí byť určená výška pokuty alebo určený spôsob jej určenia."
4,12,4,1,1072,"7. Ku skutočnosti uvedenej v rozsudku, že ust. Článku VII. zmluvy o dielo je neurčité a absolútne neplatné, a k žiadosti žalovaného o zníženie zmluvnej pokuty z dôvodu, že porušením zmluvnej povinnosti žalobcovi žiadna š…"
5,17,5,1,2520,"11. K argumentácii ohľadom neurčitého vymedzenia dohody o zmluvnej pokute žalobca uviedol, že hoci pojem cena za príslušnú etapu spracovania nebol osobitne v zmluve dojednaný a definovaný, z celkového obsahu zmluvy a roz…"
6,31,8,2,218,"27. Žalobca v podanom odvolaní spochybnil aj záver súdu prvej inštancie ohľadom neurčitosti, a teda neplatnosti dohody o zmluvnej pokute. Krajský súd v tomto smere považuje za potrebné citovať relevantnú právnu úpravu."
7,40,10,0,2416,"predmetné zmluvné ustanovenie výšku zmluvnej pokuty určuje ako 5 % z ceny za príslušnú etapu spracovania za každý začatý týždeň omeškania. Okresný súd dospel k záveru o neurčitosti, a teda neplatnosti dojednania zmluvnej…"
8,29,8,0,1075,"40 ods. 2 OZ). Nemôže preto obstáť argumentácia žalobcu v tom smere, že žalovaný mal akceptovať zmenu zmluvnej strany tým, že komunikoval so žalobcom, resp. že na žalobcu vystavoval faktúry za plnenie dohodnutého diela. …"
9,36,9,0,1011,"dôvodné pochybnosti o jeho obsahu ani v prípade osôb, ktoré nie sú účastníkmi daného zmluvného vzťahu“. Obdobne Najvyšší súd Českej republiky v rozsudku sp.zn. 26Cdo 4836/2007 konštatoval, že v prípade právneho úkonu zaz…"
10,45,11,1,1234,"38. Čo sa týka námietky žalobcu, že predmetné rozhodnutie Okresného úradu Tvrdošín sp. zn. C 32/2016 nebolo ako dôkaz na súdnom pojednávaní vykonané, krajský súd uvádza, že okresný súd žalobu zamietol z dvoch dôvodov, a …"
11,38,9,2,1595,"33. K otázke určitosti právneho úkonu krajský súd vo všeobecnosti uvádza, že otázku určitosti prejavu vôle je potrebné skúmať vo vzťahu k určeniu účastníkov, podstatných zložiek právneho úkonu a predmetu, ktorého sa práv…"
12,37,9,1,2243,"32. S prihliadnutím na uvedené skutočnosti krajský súd podrobil odvolaciemu prieskumu záver okresného súdu o neurčitosti dojednania zmluvnej pokuty, ktoré dojednanie je súčasťou uzatvorenej zmluvy o dielo v Článku VII. t…"
13,35,8,6,1388,"31. K otázke platnosti právneho úkonu krajský súd vo všeobecnosti uvádza, že Občiansky zákonník v ust. § 37 ods. 1 vyžaduje splnenie určitých predpokladov na to, aby sa jednalo o platný právny úkon. V danom prípade je ro…"
14,7,3,0,550,"dohodnutá len jednotná cena za dielo, ktorej splatnosť je rozdelená na niekoľko častí. Okrem toho žalovaný namietal, že žalobca pri výpočte zmluvnej pokuty vychádzal z ceny diela zvýšenej o DPH vo výške 20%, avšak zmluvn…"
15,6,2,2,1966,"3. Žalovaný sa bránil tým, že žalobca nie je aktívne vecne legitimovaný, pretože zmluva o prevode práv a povinností, na základe ktorej mali byť na žalobcu prevedené všetky práva a povinnosti zo zmluvy o dielo, je neplatn…"
16,41,10,1,1372,"35. Žalobca v dodatočne podaných vyjadreniach v rámci odvolacieho konania poukazoval na rozhodnutia Okresného a Krajského súdu v Bratislave, v ktorých bol ako žalovaná strana zaviazaný na plnenie z obdobných zmlúv o diel…"
17,28,7,2,1749,"25. Z vyššie uvedeného je tak možné konštatovať, že v danom prípade zmluvného vzťahu uzatvoreného medzi pôvodným katastrálnym úradom a žalobcom došlo priamo zo zákona k zmene objednávateľa, ktorým sa stala príslušná sprá…"
18,15,4,4,295,"10. Žalobca v reakcii na vyjadrenie žalovaného uviedol, že Zmluva o prevode práv a povinností č. 245/2013 bola riadne zverejnená a žalobca sa nemôže tváriť, že o ničom nevedel. Svedčia o tom listy žalovaného so žiadosťou…"
19,14,4,3,1716,"9. Žalovaný nesúhlasil ani s tvrdeniami žalobcu ohľadom určitosti dohody o zmluvnej pokute. Žalovaný uviedol, že v zmluve o dielo nie je pojem cena za príslušnú etapu spracovania vôbec definovaný a takýto pojem sa v čast…"
20,42,10,2,817,"36. Žalobca v podanom odvolaní spochybňoval aj ďalšie tvrdenia žalovaného, týkajúce sa dodatočnej nemožnosti plnenia či nevykonania rozhodnutia Okresného úradu Tvrdošín sp.zn. C 32/2016. Vo vzťahu k týmto námietkam je po…"
